name,description,gst_price
DP-100 Azure Data Scientist Associate Exam Prep,"Our DP-100 Azure Data Scientist Associate Exam Prep course is meticulously crafted to provide you with a comprehensive understanding of the key concepts and skills necessary to succeed as a data scientist in the Azure ecosystem. By enrolling in this course, you will delve deep into the world of data science, learning how to process, analyze, and interpret complex data sets using Azure's powerful tools and services.
....","$1,308.00"
DP-203 Microsoft Azure Data Engineer Associate Exam Prep,"Our DP-203 Microsoft Certified: Azure Data Engineer Associate Exam Prep course is meticulously designed to provide you with the knowledge and skills required to excel in the Azure data engineering domain. By enrolling in this course, you will gain in-depth insights into data engineering concepts, tools, and best practices, empowering you to implement effective data solutions on Azure.
With a focus on real-world appl....","$1,308.00"
WSQ - AWS Certified Cloud Practitioner Certification Prep,"In the evolving field of cloud computing, possessing the necessary knowledge and expertise can set you apart in the competitive job market. Our AWS Certified Cloud Practitioner Certification Prep course is meticulously designed to equip you with a foundational understanding of AWS cloud principles and services. From architectural principles to security features, the course covers a broad spectrum of critical topics, ....",$872.00
WSQ - AWS Certified DevOps Engineer Certification Prep (Synchronous e-Learning),"Embark on a journey to mastering the AWS Certified DevOps Engineer exam with our comprehensive preparation course. Our expert instructors will guide you through the process of developing a proof of concept for AWS CI/CD pipelines, identifying technical and practical requirements for AWS cloud infrastructure setups, and developing resilient cloud solutions using AWS cloud components. You will gain hands-on experience ....","$2,725.00"
Amazon Web Services (AWS) Cloud-Based Applications Training,"Dive into the expansive world of Amazon Web Services (AWS) with our comprehensive training tailored for individuals aspiring to harness the full potential of cloud-based applications. This course emphasizes the transformative benefits of cloud architecture, introducing participants to its core principles, ensuring a robust understanding of its myriad advantages in modern-day tech solutions.
Explore the depths of AWS....",$324.82
AWS Certified Cloud Practitioner Exam Prep,"Step into the dynamic world of cloud computing with our AWS Certified Cloud Practitioner Exam Prep course. Designed to build a strong foundational understanding, this course guides you through the essential concepts and technicalities of the AWS platform. Whether you are a beginner aiming to start a career in cloud computing or a professional looking to enhance your skills, our course is meticulously crafted to cater....",$654.00
AWS Certified Developer Associate Exam Prep,"Our AWS Developer Associate (DVA-C01) Exam Prep Course is meticulously designed to provide you with the knowledge, skills, and confidence needed to ace the AWS Developer Associate Exam. This comprehensive course covers all the essential topics and best practices to ensure you are fully prepared for the exam. Our expert instructors will guide you through the intricacies of AWS Developer, providing you with practical i....","$1,308.00"
AWS Certified Solutions Architect Exam Prep,"Embark on a transformative journey with our AWS Certified Solutions Architect (SAA-C03) Exam Prep Course. This meticulously crafted course is your gateway to mastering the intricacies of AWS and excelling in the AWS Certified Solutions Architect exam. Our expert instructors will guide you through the essential concepts and best practices of AWS, ensuring you are thoroughly prepared to tackle the exam with utmost conf....","$1,635.00"
AWS Certified DevOps Engineer Exam Prep,"Embark on a journey to success with our AWS Certified DevOps Engineer Exam Prep course. This meticulously designed course provides you with the essential knowledge and skills needed to excel in the AWS Certified DevOps Engineer exam. Our expert instructors will guide you through the complexities of AWS DevOps, ensuring you are well-prepared and confident to tackle the exam.
Our course is structured to maximize your ....","$1,635.00"
AWS Certified SysOps Administrator Exam Prep,"Our AWS Certified SysOps Administrator Exam Prep Course is meticulously designed to provide you with the knowledge, skills, and confidence needed to ace the AWS Certified SysOps Administrator Exam. This comprehensive course covers all the essential topics and best practices to ensure you are fully prepared for the exam. Our expert instructors will guide you through the intricacies of AWS SysOps, providing you with pr....","$1,635.00"
WSQ - Google Associate Cloud Engineer Certification Prep (Synchronous e-Learning),"Embark on the journey to becoming a Google Associate Cloud Engineer with our comprehensive certification prep course. Gain an in-depth understanding of core cloud services, their application, and how to manage Google Cloud Platform technology efficiently. This course is designed to equip you with the knowledge and skills to design, develop, manage, and administer application infrastructure and data solutions on Googl....","$2,180.00"
WSQ - Google Professional Machine Learning Engineer Certification Prep (Synchronous e-Learning),"Embark on a transformative journey towards becoming a Google Professional Machine Learning Engineer. Our comprehensive preparation course is meticulously designed to cover all the critical facets of machine learning, ensuring you gain the expertise needed to pass the certification exam confidently. By engaging with this course, you will dive deep into the development of scalable machine learning models, understanding....","$2,180.00"
Google Cloud Digital Leader Certification Prep,"Step into the world of cloud computing with our Google Cloud Digital Leader Learning Path Certification Prep course. This program is expertly designed for professionals seeking to harness the full potential of Google Cloud technologies in driving digital transformation. Our course provides a deep dive into the essentials of cloud computing, focusing on Google Cloud's innovative solutions and services. You will learn ....",$327.00
Google Associate Cloud Engineer Certification Exam Prep,"Embark on a journey to mastering the Google Cloud Platform with our Google Associate Cloud Engineer Certification Exam Prep course. This comprehensive course is meticulously designed to equip you with the knowledge and skills needed to excel in the Google Associate Cloud Engineer Certification Exam, ensuring you are well-prepared to tackle the challenges of the exam and achieve certification success.
Our course cove....","$1,308.00"
Google Professional Data Engineer Certification Prep,"Dive into the realm of data engineering with our Google Professional Data Engineer Certification Prep course. Tailored for professionals aspiring to excel in the field of data and analytics, this course offers an in-depth understanding of designing, building, and managing data processing systems on the Google Cloud Platform (GCP). You'll gain hands-on experience in working with big data technologies, learning how to ....",$327.00
Google Professional Cloud Architecture Certification Exam Prep,"Dive deep into the world of cloud architecture with our Google Professional Cloud Architect Certification Exam Prep course. This meticulously crafted course is designed to provide you with the essential knowledge and skills required to excel in the Google Professional Cloud Architect Certification Exam. Our expert instructors will guide you through the complexities of the Google Cloud Platform, ensuring you are well-....","$1,308.00"
Google Professional Cloud Database Engineer Certification Exam Prep,"Unlock the full potential of cloud database technology with our comprehensive Google Professional Cloud Database Engineer course. This program offers an in-depth journey through the intricacies of designing, building, and maintaining databases on the Google Cloud Platform (GCP). Aimed at database professionals looking to leverage Google Cloud’s powerful database services, this course will prepare you for the of....","$1,308.00"
Google Professional Cloud Network Engineer Certification Prep,"Embark on a path to becoming a Google Professional Cloud Network Engineer with our dedicated certification prep course. This training is strategically designed for network professionals aiming to deepen their understanding of cloud-based networking on Google Cloud Platform (GCP). You'll explore the intricacies of designing, planning, and implementing secure and scalable network architectures using GCP services. Our c....","$1,308.00"
Google Professional Cloud DevOps Engineer Certification Prep,"Delve into the dynamic world of DevOps with our Google Professional Cloud DevOps Engineer Certification Prep course. Designed for IT professionals and DevOps enthusiasts, this course offers a deep dive into the practices and tools essential for building and maintaining reliable and efficient systems on the Google Cloud Platform (GCP). The curriculum encompasses core DevOps principles, including continuous integration....","$1,308.00"
Google Professional Cloud Security Engineer Certification Prep,"Embark on a journey to become a Google Professional Cloud Security Engineer with our comprehensive certification prep course. This course is meticulously designed for IT professionals aiming to deepen their expertise in cloud security on the Google Cloud Platform (GCP). You'll gain in-depth knowledge of GCP's core services, security best practices, and the latest strategies in securing cloud environments. Our curricu....","$1,308.00"
Google Professional Machine Learning Engineer Exam Prep,"Dive into the profound capabilities of Machine Learning on the Google Cloud Platform with Tertiary Courses. Our in-depth curriculum sheds light on the myriad of hosting options available, be it Serverless, container-based, or via virtual machines, ensuring that you're equipped to make informed decisions tailored to your specific needs. Grasp the essence of enabling GCP's ML AIs and hone your skills in preparing data ....","$1,308.00"
WSQ - Cyber Security Awareness Course for Personal and Businesses,"Discover how to fortify your digital world against cyber threats with WSQ's Cyber Security Awareness Course, designed for both individuals and businesses. Learn the ins and outs of online safety, data protection, and cybersecurity fundamentals, including password management, phishing prevention, and secure browsing techniques. Equip yourself with vital knowledge to protect your personal data, as well as safeguard you....",$381.50
WSQ - Network Securities for Beginners,"Begin your cybersecurity journey with WSQ's Network Securities for Beginners course. Gain a robust understanding of critical network security protocols and strategies that are essential for both individual users and organizations. Learn how to set up secure firewalls, utilize VPNs for anonymous browsing, and implement data encryption methods to protect sensitive information.
This comprehensive course focuses on hand....",$749.92
WSQ - Microsoft Cybersecurity Architect Certification Prep (SC-100),"Dive into the dynamic sphere of cybersecurity with our Microsoft Cybersecurity Architect Certification Prep course. Designed to facilitate in-depth understanding, this course encompasses various learning outcomes, ensuring participants acquire robust knowledge in designing and implementing secure infrastructure solutions. Under the guidance of industry experts, you will be equipped to navigate complex security landsc....","$2,180.00"
WSQ - Microsoft Azure Security Engineer Associate Certification Prep (AZ-500),"Embark on a journey to becoming a proficient Azure Security Engineer with our expertly designed certification prep course. This course aims to build your competencies in securing cloud infrastructure, thus ensuring that you stand out in the competitive IT job market. Gain deep insights into Azure's security controls and capabilities, preparing you to safeguard organizations against potential threats and vulnerabiliti....","$2,180.00"
WSQ - CompTIA Security+ Certification Prep,"Embark on a journey to become a well-rounded IT security professional with our CompTIA Security+ Certification Prep Course. This comprehensive course provides you with the essential knowledge and skills to secure networks, manage risks, and ensure operational security. Gain a deep understanding of the intricacies of cybersecurity as you navigate through modules designed to equip you with competencies in areas such as....","$2,725.00"
WSQ Fundamentals of the Personal Data Protection Act (PDPA) (2020),"Embark on a comprehensive journey through the WSQ Fundamentals of the Personal Data Protection Act (PDPA) course. This course meticulously covers the latest updates from the Personal Data Protection Act 2020. Delve into practical applications of PDPA, understand how to adeptly manage data breaches in your organization, and learn the pivotal role of a Data Protection Officer. The course provides extensive training and....",$784.80
"SC-900 Microsoft Security, Compliance, and Identity Fundamentals Exam Prep","Embark on a comprehensive preparation journey for the SC-900 Microsoft Security, Compliance, and Identity Fundamentals exam. Our course is meticulously designed to cover all key areas of the exam, ensuring that you are well-equipped with the knowledge and skills needed to excel. From understanding Microsoft's security framework to grasping the nuances of compliance and identity management, this course offers a holist....",$654.00
SC-100 Microsoft Cybersecurity Architect Exam Prep,"Embark on an exciting journey into the world of cybersecurity with our SC-100 Microsoft Cybersecurity Architect Exam Prep course. This comprehensive course is designed to provide the expertise and knowledge required to excel in the SC-100 Microsoft Cybersecurity Architect exam. You'll delve into key aspects of cybersecurity, including data security, cloud security, and network security within the Microsoft Azure envi....","$1,308.00"
AZ-500 Azure Security Engineer Associate Exam Prep,"Embarking on the journey to become a certified Azure Security Engineer is a step towards gaining in-depth knowledge and credibility in the realm of cloud security. Our AZ-500 Exam Preparation Guide is meticulously crafted to offer you an enriching learning experience. Designed by experts, this course helps in acquainting you with the critical concepts and hands-on skills that are quintessential in becoming an Azure S....","$1,308.00"
CompTIA Security+ Exam  Prep,"In a world where data breaches and cyber threats are increasingly prevalent, building a solid foundation in IT security has never been more critical. Our CompTIA Security+ Exam Prep Training course is designed to equip you with the knowledge and tools necessary to excel in today's digital landscape. From understanding the principles of network security to mastering risk management, our course curriculum covers a broa....","$1,635.00"
Basic Cyber Security Course,"In the digital age, the need to understand and mitigate cyber threats is paramount. Our Basic Cyber Security Course is meticulously curated to acquaint you with the contemporary challenges posed by cyber adversaries. By delving deep into prevalent threats such as Malware, Phishing, and the intricacies of Network Security, this course offers an indispensable primer for individuals aiming to fortify their knowledge bas....",$324.82
Advanced Cyber Security Course,"Step into the world of advanced cybersecurity with our in-depth course, meticulously designed for individuals looking to enhance their defensive toolkit. This program delves deep into sophisticated techniques and tools, including the prowess of Port Scanning using NMap, thereby equipping you with skills to detect and counteract potential cyber threats at their nascent stages.
Further enhancing your cybersecurity ars....",$324.82
Network Security Essential Training,"Elevate your understanding of network security with our essential training program, tailored to provide a holistic grasp of the intricate dynamics of safeguarding networks. The course encompasses comprehensive modules on threat analysis, offering insights into recognizing vulnerabilities and potential deficiencies, especially concerning Virtual Private Networks (VPNs). With our expert guidance, participants will prof....",$654.00
4 Days Wireshark  Network Analysis Specialization,"Step into the world of advanced network analysis with our 4-day Wireshark specialization course. This intensive program is designed to equip attendees with the skills to unravel the complexities of network behaviors, performance bottlenecks, and potential security vulnerabilities. The training lays emphasis on key areas such as identifying performance glitches arising from path latency, pinpointing devices that drop ....","$1,090.00"
Network Penetration Testing for Beginners,"You've secured your systems, trained your users, and fortified your network. Think you're ready to handle a cybersecurity threat? Penetration testing is one of the best ways to see if your security will hold. It puts testers in the role of attackers, looking for vulnerabilities in your networks, computers, applications, email, and users.
This course provides an introduction to the key knowledge and skills to start a....",$327.00
Vulnerability Management with Nessus,"It only takes one misconfigured device or missing patch for hackers to infiltrate your network. Fix the flaws in your systems before attackers can find them with Nessus, the network vulnerability scanner popular among cybersecurity analysts, sys admins, and network engineers. Using Nessus, you can scan servers, endpoints, and other network devices and check them against a database of thousands of known vulnerabilitie....",$327.00
5 Days Ethical hacking Specialisation,"Dive into the world of cybersecurity with our 5 Days Ethical Hacking Specialisation, a meticulously designed course to foster the next generation of ethical hackers. This program offers an immersive experience, ensuring that participants acquire critical skills in identifying vulnerabilities, securing networks, and defending against cyber threats. The curriculum is tailored to provide a comprehensive understanding of....","$1,635.00"
5 Days Cyber Security Specialization,"Cybersecurity risk is increasing, driven by global connectivity and usage of cloud services to store sensitive data and personal information. Widespread poor configuration of cloud services paired with increasingly sophisticated cyber criminals means the risk that your organization suffers from a successful cyber attack or data breach is on the rise.
Cyber threats can come from any level of your organization. You mu....","$1,635.00"
WSQ - Cyber Security Awareness Course for Personal and Businesses,"Discover how to fortify your digital world against cyber threats with WSQ's Cyber Security Awareness Course, designed for both individuals and businesses. Learn the ins and outs of online safety, data protection, and cybersecurity fundamentals, including password management, phishing prevention, and secure browsing techniques. Equip yourself with vital knowledge to protect your personal data, as well as safeguard you....",$381.50
WSQ - Microsoft Cybersecurity Architect Certification Prep (SC-100),"Dive into the dynamic sphere of cybersecurity with our Microsoft Cybersecurity Architect Certification Prep course. Designed to facilitate in-depth understanding, this course encompasses various learning outcomes, ensuring participants acquire robust knowledge in designing and implementing secure infrastructure solutions. Under the guidance of industry experts, you will be equipped to navigate complex security landsc....","$2,180.00"
WSQ - CompTIA Security+ Certification Prep,"Embark on a journey to become a well-rounded IT security professional with our CompTIA Security+ Certification Prep Course. This comprehensive course provides you with the essential knowledge and skills to secure networks, manage risks, and ensure operational security. Gain a deep understanding of the intricacies of cybersecurity as you navigate through modules designed to equip you with competencies in areas such as....","$2,725.00"
Basic Cyber Security Course,"In the digital age, the need to understand and mitigate cyber threats is paramount. Our Basic Cyber Security Course is meticulously curated to acquaint you with the contemporary challenges posed by cyber adversaries. By delving deep into prevalent threats such as Malware, Phishing, and the intricacies of Network Security, this course offers an indispensable primer for individuals aiming to fortify their knowledge bas....",$324.82
Advanced Cyber Security Course,"Step into the world of advanced cybersecurity with our in-depth course, meticulously designed for individuals looking to enhance their defensive toolkit. This program delves deep into sophisticated techniques and tools, including the prowess of Port Scanning using NMap, thereby equipping you with skills to detect and counteract potential cyber threats at their nascent stages.
Further enhancing your cybersecurity ars....",$324.82
AZ-500 Azure Security Engineer Associate Exam Prep,"Embarking on the journey to become a certified Azure Security Engineer is a step towards gaining in-depth knowledge and credibility in the realm of cloud security. Our AZ-500 Exam Preparation Guide is meticulously crafted to offer you an enriching learning experience. Designed by experts, this course helps in acquainting you with the critical concepts and hands-on skills that are quintessential in becoming an Azure S....","$1,308.00"
"SC-900 Microsoft Security, Compliance, and Identity Fundamentals Exam Prep","Embark on a comprehensive preparation journey for the SC-900 Microsoft Security, Compliance, and Identity Fundamentals exam. Our course is meticulously designed to cover all key areas of the exam, ensuring that you are well-equipped with the knowledge and skills needed to excel. From understanding Microsoft's security framework to grasping the nuances of compliance and identity management, this course offers a holist....",$654.00
SC-100 Microsoft Cybersecurity Architect Exam Prep,"Embark on an exciting journey into the world of cybersecurity with our SC-100 Microsoft Cybersecurity Architect Exam Prep course. This comprehensive course is designed to provide the expertise and knowledge required to excel in the SC-100 Microsoft Cybersecurity Architect exam. You'll delve into key aspects of cybersecurity, including data security, cloud security, and network security within the Microsoft Azure envi....","$1,308.00"
WSQ - Microsoft Azure Security Engineer Associate Certification Prep (AZ-500),"Embark on a journey to becoming a proficient Azure Security Engineer with our expertly designed certification prep course. This course aims to build your competencies in securing cloud infrastructure, thus ensuring that you stand out in the competitive IT job market. Gain deep insights into Azure's security controls and capabilities, preparing you to safeguard organizations against potential threats and vulnerabiliti....","$2,180.00"
CompTIA Security+ Exam  Prep,"In a world where data breaches and cyber threats are increasingly prevalent, building a solid foundation in IT security has never been more critical. Our CompTIA Security+ Exam Prep Training course is designed to equip you with the knowledge and tools necessary to excel in today's digital landscape. From understanding the principles of network security to mastering risk management, our course curriculum covers a broa....","$1,635.00"
5 Days Cyber Security Specialization,"Cybersecurity risk is increasing, driven by global connectivity and usage of cloud services to store sensitive data and personal information. Widespread poor configuration of cloud services paired with increasingly sophisticated cyber criminals means the risk that your organization suffers from a successful cyber attack or data breach is on the rise.
Cyber threats can come from any level of your organization. You mu....","$1,635.00"
5 Days Ethical hacking Specialisation,"Dive into the world of cybersecurity with our 5 Days Ethical Hacking Specialisation, a meticulously designed course to foster the next generation of ethical hackers. This program offers an immersive experience, ensuring that participants acquire critical skills in identifying vulnerabilities, securing networks, and defending against cyber threats. The curriculum is tailored to provide a comprehensive understanding of....","$1,635.00"
Vulnerability Management with Nessus,"It only takes one misconfigured device or missing patch for hackers to infiltrate your network. Fix the flaws in your systems before attackers can find them with Nessus, the network vulnerability scanner popular among cybersecurity analysts, sys admins, and network engineers. Using Nessus, you can scan servers, endpoints, and other network devices and check them against a database of thousands of known vulnerabilitie....",$327.00
5 Days Ethical hacking Specialisation,"Dive into the world of cybersecurity with our 5 Days Ethical Hacking Specialisation, a meticulously designed course to foster the next generation of ethical hackers. This program offers an immersive experience, ensuring that participants acquire critical skills in identifying vulnerabilities, securing networks, and defending against cyber threats. The curriculum is tailored to provide a comprehensive understanding of....","$1,635.00"
Network Penetration Testing for Beginners,"You've secured your systems, trained your users, and fortified your network. Think you're ready to handle a cybersecurity threat? Penetration testing is one of the best ways to see if your security will hold. It puts testers in the role of attackers, looking for vulnerabilities in your networks, computers, applications, email, and users.
This course provides an introduction to the key knowledge and skills to start a....",$327.00
WSQ Fundamentals of the Personal Data Protection Act (PDPA) (2020),"Embark on a comprehensive journey through the WSQ Fundamentals of the Personal Data Protection Act (PDPA) course. This course meticulously covers the latest updates from the Personal Data Protection Act 2020. Delve into practical applications of PDPA, understand how to adeptly manage data breaches in your organization, and learn the pivotal role of a Data Protection Officer. The course provides extensive training and....",$784.80
Fundamentals of the Personal Data Protection Act (PDPA) (2020) (Synchronous e-learning),"This course is not yet approved for WSQ funding

Embark on a comprehensive journey through the WSQ Fundamentals of the Personal Data Protection Act (PDPA) course. This course meticulously covers the latest updates from the Personal Data Protection Act 2020. Delve into practical applications of PDPA, understand how to adeptly manage data breaches in your organization, and learn the pivotal role of a Data Protection ....",$784.80
"SC-900 Microsoft Security, Compliance, and Identity Fundamentals Exam Prep","Embark on a comprehensive preparation journey for the SC-900 Microsoft Security, Compliance, and Identity Fundamentals exam. Our course is meticulously designed to cover all key areas of the exam, ensuring that you are well-equipped with the knowledge and skills needed to excel. From understanding Microsoft's security framework to grasping the nuances of compliance and identity management, this course offers a holist....",$654.00
SC-100 Microsoft Cybersecurity Architect Exam Prep,"Embark on an exciting journey into the world of cybersecurity with our SC-100 Microsoft Cybersecurity Architect Exam Prep course. This comprehensive course is designed to provide the expertise and knowledge required to excel in the SC-100 Microsoft Cybersecurity Architect exam. You'll delve into key aspects of cybersecurity, including data security, cloud security, and network security within the Microsoft Azure envi....","$1,308.00"
AZ-500 Azure Security Engineer Associate Exam Prep,"Embarking on the journey to become a certified Azure Security Engineer is a step towards gaining in-depth knowledge and credibility in the realm of cloud security. Our AZ-500 Exam Preparation Guide is meticulously crafted to offer you an enriching learning experience. Designed by experts, this course helps in acquainting you with the critical concepts and hands-on skills that are quintessential in becoming an Azure S....","$1,308.00"
WSQ - Microsoft Azure Security Engineer Associate Certification Prep (AZ-500),"Embark on a journey to becoming a proficient Azure Security Engineer with our expertly designed certification prep course. This course aims to build your competencies in securing cloud infrastructure, thus ensuring that you stand out in the competitive IT job market. Gain deep insights into Azure's security controls and capabilities, preparing you to safeguard organizations against potential threats and vulnerabiliti....","$2,180.00"
WSQ - Network Securities for Beginners,"Begin your cybersecurity journey with WSQ's Network Securities for Beginners course. Gain a robust understanding of critical network security protocols and strategies that are essential for both individual users and organizations. Learn how to set up secure firewalls, utilize VPNs for anonymous browsing, and implement data encryption methods to protect sensitive information.
This comprehensive course focuses on hand....",$749.92
WSQ - Microsoft Cybersecurity Architect Certification Prep (SC-100),"Dive into the dynamic sphere of cybersecurity with our Microsoft Cybersecurity Architect Certification Prep course. Designed to facilitate in-depth understanding, this course encompasses various learning outcomes, ensuring participants acquire robust knowledge in designing and implementing secure infrastructure solutions. Under the guidance of industry experts, you will be equipped to navigate complex security landsc....","$2,180.00"
WSQ - CompTIA Security+ Certification Prep,"Embark on a journey to become a well-rounded IT security professional with our CompTIA Security+ Certification Prep Course. This comprehensive course provides you with the essential knowledge and skills to secure networks, manage risks, and ensure operational security. Gain a deep understanding of the intricacies of cybersecurity as you navigate through modules designed to equip you with competencies in areas such as....","$2,725.00"
AZ-500 Azure Security Engineer Associate Exam Prep,"Embarking on the journey to become a certified Azure Security Engineer is a step towards gaining in-depth knowledge and credibility in the realm of cloud security. Our AZ-500 Exam Preparation Guide is meticulously crafted to offer you an enriching learning experience. Designed by experts, this course helps in acquainting you with the critical concepts and hands-on skills that are quintessential in becoming an Azure S....","$1,308.00"
WSQ - Microsoft Azure Security Engineer Associate Certification Prep (AZ-500),"Embark on a journey to becoming a proficient Azure Security Engineer with our expertly designed certification prep course. This course aims to build your competencies in securing cloud infrastructure, thus ensuring that you stand out in the competitive IT job market. Gain deep insights into Azure's security controls and capabilities, preparing you to safeguard organizations against potential threats and vulnerabiliti....","$2,180.00"
CompTIA Security+ Exam  Prep,"In a world where data breaches and cyber threats are increasingly prevalent, building a solid foundation in IT security has never been more critical. Our CompTIA Security+ Exam Prep Training course is designed to equip you with the knowledge and tools necessary to excel in today's digital landscape. From understanding the principles of network security to mastering risk management, our course curriculum covers a broa....","$1,635.00"
Network Security Essential Training,"Elevate your understanding of network security with our essential training program, tailored to provide a holistic grasp of the intricate dynamics of safeguarding networks. The course encompasses comprehensive modules on threat analysis, offering insights into recognizing vulnerabilities and potential deficiencies, especially concerning Virtual Private Networks (VPNs). With our expert guidance, participants will prof....",$654.00
4 Days Wireshark  Network Analysis Specialization,"Step into the world of advanced network analysis with our 4-day Wireshark specialization course. This intensive program is designed to equip attendees with the skills to unravel the complexities of network behaviors, performance bottlenecks, and potential security vulnerabilities. The training lays emphasis on key areas such as identifying performance glitches arising from path latency, pinpointing devices that drop ....","$1,090.00"
WSQ - Content Management with WordPress Course,"Unleash your creative potential and become proficient in content management with our WSQ-certified WordPress course. Designed for all skill levels, this course walks you through the essentials of WordPress—from setting up a website to customizing themes and plugins. You'll gain the expertise needed to manage and optimize content across various types of websites, be it a personal blog or a corporate site.
This ....",$381.50
WSQ - Content Management with Notion,"Dive into the world of content management with our ""Content Management with Notion"" course. This program is meticulously designed to empower participants with the skills to implement and adhere to organizational content management policies using Notion. You'll gain hands-on experience in posting and updating content while ensuring it aligns with the latest content creation and curation standards. The course also focu....",$872.00
WSQ - eCommerce Content Management with WooCommerce,"Embark on a comprehensive journey into the world of eCommerce content management with our WSQ-certified WooCommerce course. Learn how to set up, manage, and optimize your online store in a way that not only attracts but also retains customers. Gain hands-on experience with product listing, payment gateways, shipping options, and SEO optimization to elevate your web store to professional standards.
The course also de....",$381.50
WSQ - Web Content Management with Wix,"Unlock a new realm of possibilities in web design with our WSQ-certified Wix Content Management course. This course is a one-stop-shop for mastering Wix's intuitive drag-and-drop interface, allowing you to craft stunning and responsive websites without the need for coding. Acquire the skills to manage, update, and optimize digital content effectively, be it for a blog, online store, or corporate website.
Dive deep i....",$872.00
Setup Professional Business Website Using WordPress,"In today's digital age, having a professional business website is more crucial than ever. With WordPress, setting up a robust and elegant business website becomes a seamless process. Our course provides an in-depth guide to utilizing the platform's most powerful tools, ensuring your business shines online. Participants will dive into the new WordPress Block Editor, enhancing the flexibility and design of posts and pa....",$327.00
Setup WordPress eCommerce Store Using WooCommerce,"Embark on a transformative journey with us to unlock the immense potential of WooCommerce, the leading content management system for eCommerce. This course, designed meticulously for aspiring online entrepreneurs and existing business owners, focuses on leveraging the WordPress WooCommerce platform to its pinnacle. Participants will learn to install and setup WooCommerce in alignment with their organization's protoco....",$327.00
3 Days Wordpress CMS Specialization,"Dive into the world of WordPress with our focused 3-day WordPress CMS Specialization course. This intensive program is designed to fast-track your skills in one of the most popular content management systems. Starting from the basics, the course covers every essential aspect of WordPress, making it suitable for beginners yet valuable for experienced users seeking to deepen their knowledge. You'll learn how to set up ....",$981.00
Microsoft Sharepoint Online Training,"Discover the essentials of SharePoint, a vital tool for efficient document management and team collaboration. Our course is tailored to equip you with the skills to effectively navigate and utilize SharePoint's features. You'll learn to set up sites, manage documents, and integrate SharePoint into daily operations, enhancing overall team efficiency and productivity. This training is ideal for those looking to elevate....",$327.00
Notion Essential Training,"In today's fast-paced world, streamlining tasks and increasing productivity is key. Our Notion Essential Training course is your gateway to mastering this all-in-one workspace where you can write, plan, collaborate and organize. Designed for beginners, this course takes you on a step-by-step journey through Notion's features - from creating notes and documents to managing complex projects and tasks.
The training cov....",$327.00
Build a Professional Business Website With Wix,"Wix has user-friendly drag-and-drop tools and over 500+ ready-made templates help you build your website without either having specialist skills or hiring a web developer. Wix accelerates the web development process and gives you the creative freedom to build the website you desire.
Wix is an ideal website builder for small and medium ecommerce businesses. This course will teach you the essential of Wix to get ....",$327.00
WSQ - Content Management with WordPress Course,"Unleash your creative potential and become proficient in content management with our WSQ-certified WordPress course. Designed for all skill levels, this course walks you through the essentials of WordPress—from setting up a website to customizing themes and plugins. You'll gain the expertise needed to manage and optimize content across various types of websites, be it a personal blog or a corporate site.
This ....",$381.50
WSQ - eCommerce Content Management with WooCommerce,"Embark on a comprehensive journey into the world of eCommerce content management with our WSQ-certified WooCommerce course. Learn how to set up, manage, and optimize your online store in a way that not only attracts but also retains customers. Gain hands-on experience with product listing, payment gateways, shipping options, and SEO optimization to elevate your web store to professional standards.
The course also de....",$381.50
Setup Professional Business Website Using WordPress,"In today's digital age, having a professional business website is more crucial than ever. With WordPress, setting up a robust and elegant business website becomes a seamless process. Our course provides an in-depth guide to utilizing the platform's most powerful tools, ensuring your business shines online. Participants will dive into the new WordPress Block Editor, enhancing the flexibility and design of posts and pa....",$327.00
Setup WordPress eCommerce Store Using WooCommerce,"Embark on a transformative journey with us to unlock the immense potential of WooCommerce, the leading content management system for eCommerce. This course, designed meticulously for aspiring online entrepreneurs and existing business owners, focuses on leveraging the WordPress WooCommerce platform to its pinnacle. Participants will learn to install and setup WooCommerce in alignment with their organization's protoco....",$327.00
3 Days Wordpress CMS Specialization,"Dive into the world of WordPress with our focused 3-day WordPress CMS Specialization course. This intensive program is designed to fast-track your skills in one of the most popular content management systems. Starting from the basics, the course covers every essential aspect of WordPress, making it suitable for beginners yet valuable for experienced users seeking to deepen their knowledge. You'll learn how to set up ....",$981.00
WSQ - Web Content Management with Wix,"Unlock a new realm of possibilities in web design with our WSQ-certified Wix Content Management course. This course is a one-stop-shop for mastering Wix's intuitive drag-and-drop interface, allowing you to craft stunning and responsive websites without the need for coding. Acquire the skills to manage, update, and optimize digital content effectively, be it for a blog, online store, or corporate website.
Dive deep i....",$872.00
Build a Professional Business Website With Wix,"Wix has user-friendly drag-and-drop tools and over 500+ ready-made templates help you build your website without either having specialist skills or hiring a web developer. Wix accelerates the web development process and gives you the creative freedom to build the website you desire.
Wix is an ideal website builder for small and medium ecommerce businesses. This course will teach you the essential of Wix to get ....",$327.00
WSQ - Content Management with Notion,"Dive into the world of content management with our ""Content Management with Notion"" course. This program is meticulously designed to empower participants with the skills to implement and adhere to organizational content management policies using Notion. You'll gain hands-on experience in posting and updating content while ensuring it aligns with the latest content creation and curation standards. The course also focu....",$872.00
